Time resolution is 1 ps
A=190 B=238 Cin=0 | Sum=10101100 Cout=1
A=190 B=238 Cin=1 | Sum=10101101 Cout=1
A=190 B=239 Cin=0 | Sum=10101101 Cout=1
A=190 B=239 Cin=1 | Sum=10101110 Cout=1
A=190 B=240 Cin=0 | Sum=10101110 Cout=1
A=190 B=240 Cin=1 | Sum=10101111 Cout=1
A=190 B=241 Cin=0 | Sum=10101111 Cout=1
A=190 B=241 Cin=1 | Sum=10100100 Cout=1
A=190 B=242 Cin=0 | Sum=10110000 Cout=1
A=190 B=242 Cin=1 | Sum=10110001 Cout=1
A=190 B=243 Cin=0 | Sum=10110001 Cout=1
A=190 B=243 Cin=1 | Sum=10110010 Cout=1
A=190 B=244 Cin=0 | Sum=10110010 Cout=1
A=190 B=244 Cin=1 | Sum=10110011 Cout=1
A=190 B=245 Cin=0 | Sum=10110011 Cout=1
A=190 B=245 Cin=1 | Sum=10110000 Cout=1
A=190 B=246 Cin=0 | Sum=10110100 Cout=1
A=190 B=246 Cin=1 | Sum=10110101 Cout=1
A=190 B=247 Cin=0 | Sum=10110101 Cout=1
A=190 B=247 Cin=1 | Sum=10110110 Cout=1
A=190 B=248 Cin=0 | Sum=10110110 Cout=1
A=190 B=248 Cin=1 | Sum=10110111 Cout=1
A=190 B=249 Cin=0 | Sum=10110111 Cout=1
A=190 B=249 Cin=1 | Sum=10111100 Cout=1
A=190 B=250 Cin=0 | Sum=10111000 Cout=1
A=190 B=250 Cin=1 | Sum=10111001 Cout=1
A=190 B=251 Cin=0 | Sum=10111001 Cout=1
A=190 B=251 Cin=1 | Sum=10111010 Cout=1
A=190 B=252 Cin=0 | Sum=10111010 Cout=1
A=190 B=252 Cin=1 | Sum=10111011 Cout=1
A=190 B=253 Cin=0 | Sum=10111011 Cout=1
A=190 B=253 Cin=1 | Sum=10111000 Cout=1
A=190 B=254 Cin=0 | Sum=10111100 Cout=1
A=190 B=254 Cin=1 | Sum=10111101 Cout=1
A=190 B=255 Cin=0 | Sum=10111101 Cout=1
A=190 B=255 Cin=1 | Sum=10111110 Cout=1
A=191 B= 40 Cin=0 | Sum=11100111 Cout=0
A=191 B= 40 Cin=1 | Sum=11101100 Cout=0
A=191 B= 41 Cin=0 | Sum=11101000 Cout=0
A=191 B= 41 Cin=1 | Sum=11101001 Cout=0
A=191 B= 42 Cin=0 | Sum=11101001 Cout=0
A=191 B= 42 Cin=1 | Sum=11101010 Cout=0
A=191 B= 43 Cin=0 | Sum=11101010 Cout=0
A=191 B= 43 Cin=1 | Sum=11101011 Cout=0
A=191 B= 44 Cin=0 | Sum=11101011 Cout=0
A=191 B= 44 Cin=1 | Sum=11101000 Cout=0
A=191 B= 45 Cin=0 | Sum=11101100 Cout=0
A=191 B= 45 Cin=1 | Sum=11101101 Cout=0
A=191 B= 46 Cin=0 | Sum=11101101 Cout=0
A=191 B= 46 Cin=1 | Sum=11101110 Cout=0
A=191 B= 47 Cin=0 | Sum=11101110 Cout=0
A=191 B= 47 Cin=1 | Sum=11101111 Cout=0
A=191 B= 48 Cin=0 | Sum=11101111 Cout=0
A=191 B= 48 Cin=1 | Sum=11100100 Cout=0
A=191 B= 49 Cin=0 | Sum=11110000 Cout=0
A=191 B= 49 Cin=1 | Sum=11110001 Cout=0
A=191 B= 50 Cin=0 | Sum=11110001 Cout=0
A=191 B= 50 Cin=1 | Sum=11110010 Cout=0
A=191 B= 51 Cin=0 | Sum=11110010 Cout=0
A=191 B= 51 Cin=1 | Sum=11110011 Cout=0
A=191 B= 52 Cin=0 | Sum=11110011 Cout=0
A=191 B= 52 Cin=1 | Sum=11110000 Cout=0
A=191 B= 53 Cin=0 | Sum=11110100 Cout=0
A=191 B= 53 Cin=1 | Sum=11110101 Cout=0
A=191 B= 54 Cin=0 | Sum=11110101 Cout=0
A=191 B= 54 Cin=1 | Sum=11110110 Cout=0
A=191 B= 55 Cin=0 | Sum=11110110 Cout=0
A=191 B= 55 Cin=1 | Sum=11110111 Cout=0
A=191 B= 56 Cin=0 | Sum=11110111 Cout=0
A=191 B= 56 Cin=1 | Sum=11111100 Cout=0
A=191 B= 57 Cin=0 | Sum=11111000 Cout=0
A=191 B= 57 Cin=1 | Sum=11111001 Cout=0
A=191 B= 58 Cin=0 | Sum=11111001 Cout=0
A=191 B= 58 Cin=1 | Sum=11111010 Cout=0
A=191 B= 59 Cin=0 | Sum=11111010 Cout=0
A=191 B= 59 Cin=1 | Sum=11111011 Cout=0
A=191 B= 60 Cin=0 | Sum=11111011 Cout=0
A=191 B= 60 Cin=1 | Sum=11111000 Cout=0
A=191 B= 61 Cin=0 | Sum=11111100 Cout=0
